16000062,191034815,SDWP,,,5/26/2016,8/20/2016,0 / 2 / 26,1y,On-going,Abroad,,23rd Int'l. Goodwill Concert Tour,,"USA, CANADA",USA/CANADA
13000063,11627999,LFF,,,6/1/2013,5/31/2014,1 / 0 / 0,1.5y 0m,On-going,Local,No records,Ph.D in  Mathematics,UP Diliman,Diliman,Philippines
14000064,11627999,LFF,,,8/1/2014,5/31/2015,0 / 10 / 0,0y 15m,On-going,Local,No records,Ph.D in  Mathematics,UP Diliman,Diliman,Philippines
10000065,13080414,SDWP,,,1/21/2010,1/29/2010,0 / 0 / 9,,,Abroad,,,,,
15000066,11092100,SLWP,,,8/1/2015,7/31/2017,2 / 0 / 0,4y ,On-going,Abroad,Doctoral Studies Fund,Doctoral Studies,Technische Universitat,Ilmenau,Germany
10000067,11092100,Professorial Chair,,,7/1/2010,6/30/2012,2 / 0 / 0,3y 0m,,,,,,,
15000068,11728353,Professorial Chair,,,6/1/2015,7/31/2016,1/2/2000,1.5y 3m,On-going,Local,,Vea Family Professorial Chair,,,
14000069,11603584,SLWP,,,8/1/2014,7/31/2017,3 / 0 / 0,6y ,On-going,Abroad,,Ph.D. in Mathematics,Emory University in Atlanta,Georgia,USA
10000070,12048438,SDWP,,,3/2/2010,3/7/2010,0 / 0 / 6,,,Abroad,,,,,
14000071,41032448,Sabbatical,Full-time,Original,8/1/2014,7/31/2015,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
16000072,11827419,SDWP,Full-time,Original,5/22/2016,7/15/2016,0 / 1 / 24,6m,On-going,Abroad,NUS,Research Fellow ,National Univ. of Singapore,,Singapore
10000073,12084002,SDWP,,,6/22/2010,6/25/2010,0 / 0 / 4,,,Abroad,,,,,
16000074,12809125,SLWP,Full-time,Original,9/5/2016,9/4/2017,1 / 0 / 0,2y ,On-going,Abroad,Netherlands Fellowship Program,MA in Development studies,University of Rotterdam,,Netherlands
15000075,11817264,SLWP,,,8/1/2015,12/31/2015,0 / 5 / 0,0y 5m,served,Local,No records,MS in Mechanical Engineering,UP Diliman,Diliman,Philippines
11000076,11604877,SLWP,,,10/1/2011,5/31/2012,0 / 8 / 0,2y ,Served,Abroad,Erasmus Mundus Mobility with Asia Scholarship,MA German Studies,Heidelberg University,Heidelberg,Germany
13000077,12610924,SLWP,,,11/1/2013,5/31/2014,0 / 7 / 0,2y ,On-going,Abroad,No records,Ph.D in Critical Policy Research,Universiti Sains Malaysia,Penang,Malaysia
10000078,71204915,SDWP,,,4/3/2010,5/2/2010,0 / 1 / 0,6m,Served,Abroad,,,,,UK
10000079,11620355,SDWP,,,1/28/2010,1/30/2010,0 / 0 / 3,0y 0m,,Local,,,,,Philippines
16000080,12837536,SLWP,,,1/1/2016,8/31/2016,0 / 8 / 0,2y ,On-going,Abroad,,Residential Phase of Master in Occupational Health,Turin School of Development,Turin,Italy
15000081,12047513,Sabbatical,,,1/1/2015,12/31/2015,1 / 0 / 0,1.5y 0m,on-going,Local,,,,,
15000082,12045105,Sabbatical,Full-time,Renewal,8/1/2015,7/31/2016,1 / 0 / 0,1.5y 0m,on-going,Local,,,,,
11000083,12047513,Professorial Chair,,,1/1/2011,12/31/2011,1 / 0 / 0,1.5y 0m,,,New Jersey Chapter UP Centennial Faculty Grant,,,,
11000084,31247352,SLWP,,,11/1/2011,3/31/2012,0 / 5 / 0,0y 5m,Served,Local,No records,MA,UP Diliman,Diliman,Philippines
10000085,12047199,SDWP,,,2/13/2010,2/17/2010,0 / 0 / 5,,,Abroad,,,"Paris, France",,
16000086,12838312,Sabbatical,,,7/1/2016,6/30/2017,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
15000087,13284320,SLWP,,,8/1/2015,7/31/2016,1 / 0 / 0,1y 0m,On-going,Local,No records,MSEnE,UP Diliman,Diliman,Philippines
10000088,32037481,SDWP,Full-time,Original,2/20/2010,3/1/2010,0 / 0 / 10,,,Abroad,,Executive Board Member Seaweed Assoc. Council,,"Boja, California, Mexico",
10000089,22073155,SDWP,,,7/11/2010,7/15/2010,0 / 0 / 5,,,Abroad,,,"Lisbon, Portugal",,
15000090,21703940,SLWP,Full-time,Renewal,8/1/2015,7/31/2017,2 / 0 / 0,2y 0m,On-going,Local,UP Modernization Program,Ph.D in Communication Program,UP Diliman,Diliman,Philippines
12000091,21034543,SDWP,,,4/1/2012,6/30/2012,0 / 3 / 0,1y,Served,Abroad,No records,Guest Professor,"Musikhochschule Lubeck, Germany",Lubeck,Germany
14000092,21031707,Sabbatical,Full-time,Original,8/1/2014,7/31/2015,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
11000093,21736905,SDWP,,,9/24/2011,9/30/2012,1 / 0 / 7,2y ,Served,Abroad,No records,Research fellowship,"Chiba, Japan",Chiba,Japan
11000094,21035379,Professorial Chair,,,9/1/2011,6/30/2012,0 / 10 / 0,0y 15m,,,,,,,
12000095,173868935,SLWOP,,,8/1/2012,7/31/2013,1 / 0 / 0,1y 0m,On-going,Abroad,No records,Ph.D in History,"University of Texas, Dallas",Texas,USA
15000096,21738096,SDWP,,,7/3/2015,8/22/2015,0 / 1 / 20,6m,On-going,Abroad,No records,Internship Student,Hokkaido University,Hokkaido,Japan
10000097,21730821,SLWP,,,11/1/2010,10/31/2011,1 / 0 / 0,1y 0m,Served,Local,No records,MS in Mechanical Engineering,UP Diliman,Diliman,Philippines
12000098,21837062,LFF,,,6/1/2012,5/31/2013,1 / 0 / 0,1.5y 0m,Served,Local,No records,Ph.D in Mathematics,UP Diliman,Diliman,Philippines
11000099,21039510,SDWOP,,,11/1/2011,8/31/2012,0 / 10 / 0,0y 10m,with RSO,Abroad,No records,"Research, Collabarative  ",Toyohashi University of Technology,Toyohashi,Japan
11000100,21033204,SDWOP,,,5/15/2011,5/14/2012,1 / 0 / 0,1y 0m,Served,Abroad,,,Australian National University,,Australia
12000101,21614095,LFF,Full-time,Original,6/1/2012,5/31/2013,1 / 0 / 0,1.5y 0m,Served,Local,LFF,Master of Science in Chemistry,UP Diliman,Diliman,Philippines
13000102,181002613,SLWP,,,6/1/2013,5/31/2015,2 / 0 / 0,2y 0m,On-going,Local,No records,Ph.D in Educational Research and Evaluation,UP Diliman,Diliman,Philippines
14000103,21032290,Sabbatical,Full-time,Original,8/1/2014,7/31/2015,1 / 0 / 0,1.5y 0m,On-going,Local,,,,,
15000104,41034262,SDWP,,,12/3/2015,1/3/2016,0 / 1 / 1,6m,On-going,Abroad,Under the Hitachi Global Foundation,"To Collect data in Relation to the Research Project ""Tourism Post-Disaster Recovery: Governance of Public-Private Tourism Initiatives to Rejuvenates Areas affected by the Great ast Japan Earthquake""",Japan,Japan,Japan
